x	t=0	t=0.005	t=0.01	t=0.015	t=0.02
0.825871	1.25679e-48	1.99061e-12	5.52886e-10	1.16674e-07	0.0861187
0.830846	1.50444e-49	1.58269e-12	4.65633e-10	9.17299e-08	0.0718869
0.835821	1.7656e-50	1.25859e-12	3.893e-10	7.22126e-08	0.0598148
0.840796	2.03145e-51	1.00113e-12	3.23112e-10	5.65411e-08	0.0496143
0.845771	2.29151e-52	7.96633e-13	2.66227e-10	4.37542e-08	0.0410326
0.850746	2.53418e-53	6.34201e-13	2.17767e-10	3.32651e-08	0.0338468
0.855721	2.7476e-54	5.05158e-13	1.76844e-10	2.4702e-08	0.0278579
0.860697	2.92059e-55	4.02612e-13	1.42585e-10	1.78074e-08	0.0228856
0.865672	3.0436e-56	3.21095e-13	1.14151e-10	1.23782e-08	0.0187665
0.870647	3.1096e-57	2.56267e-13	9.07534e-11	8.23109e-09	0.0153548
0.875622	3.11474e-58	2.04689e-13	7.16605e-11	5.18511e-09	0.0125253
0.880597	3.05872e-59	1.63633e-13	5.62083e-11	3.05643e-09	0.0101757
0.885572	2.94481e-60	1.30938e-13	4.38025e-11	1.66099e-09	0.00822718
0.890547	2.77956e-61	1.04889e-13	3.39196e-11	8.22113e-10	0.00662149
0.895522	2.57214e-62	8.41243e-14	2.61052e-11	3.80014e-10	0.00531419
0.900498	2.33353e-63	6.75633e-14	1.99707e-11	2.00373e-10	0.00426689
0.905473	2.07555e-64	5.43454e-14	1.5188e-11	1.7976e-10	0.0034405
0.910448	1.80989e-65	4.37848e-14	1.1484e-11	2.46612e-10	0.0027921
0.915423	1.54729e-66	3.53345e-14	8.63413e-12	3.57664e-10	0.00227653
0.920398	1.29686e-67	2.85572e-14	6.4554e-12	4.90891e-10	0.00185191
0.925373	1.06565e-68	2.31036e-14	4.80042e-12	6.3676e-10	0.00148639
0.930348	8.58489e-70	1.86947e-14	3.5513e-12	7.89872e-10	0.00116301
0.935323	6.78041e-71	1.51085e-14	2.61434e-12	9.42751e-10	0.000880121
0.940299	5.25022e-72	1.21694e-14	1.91549e-12	1.08286e-09	0.000646553
0.945274	3.98565e-73	9.73948e-15	1.39653e-12	1.19298e-09	0.000473222
0.950249	2.96635e-74	7.7124e-15	1.01207e-12	1.25435e-09	0.000364375
0.955224	2.16443e-75	6.00788e-15	7.27064e-13	1.25122e-09	0.000312056
0.960199	1.54834e-76	4.56747e-15	5.14956e-13	1.17545e-09	0.000296184
0.965174	1.0859e-77	3.35096e-15	3.56117e-13	1.0298e-09	0.000290309
0.970149	7.46645e-79	2.33311e-15	2.36568e-13	8.28948e-10	0.000270679
0.975124	5.03313e-80	1.50054e-15	1.46854e-13	5.98043e-10	0.000224799
0.9801	3.32631e-81	8.4871e-16	8.10029e-14	3.68966e-10	0.000155776
0.985075	2.1552e-82	3.78853e-16	3.55804e-14	1.75081e-10	8.04557e-05
0.99005	1.36903e-83	9.48514e-17	8.83553e-15	4.55063e-11	2.20124e-05
